Transaction ID,Customer ID,Product,Category,Region,Sales Amount,Quantity,Date,Payment Method
T00080,C3081,Keyboard,Accessories,West,722.39,9,2023-01-11,Credit Card
T00081,C6137,Smartwatch,Electronics,West,252.58,5,2024-06-22,Credit Card
T00082,C5939,Keyboard,Accessories,West,461.04,3,2023-01-17,Cash
T00083,C2947,Mobile Phone,Office Equipment,North,1067.77,3,2023-02-11,Online Payment
T00084,C5910,Monitor,Electronics,South,1405.4,7,2023-04-20,Cash
T00085,C4169,Desktop,Office Equipment,East,246.72,10,2024-02-19,Debit Card
T00086,C7754,Desktop,Accessories,South,1904.84,1,2024-10-15,UPI
T00087,C5460,Mobile Phone,Electronics,West,1598.02,3,2024-11-02,UPI
T00088,C4784,Printer,Electronics,South,1618.37,7,2023-09-15,Online Payment
T00089,C7050,Mobile Phone,Electronics,East,970.34,4,2023-08-13,Debit Card
T00090,C9131,Keyboard,Accessories,South,1378.07,9,2024-01-11,UPI
T00091,C3416,Headphones,Accessories,West,449.63,7,2023-06-28,UPI
T00092,C8587,Keyboard,Electronics,East,428.15,3,2024-09-05,Credit Card
T00093,C5509,Smartwatch,Accessories,East,227.01,4,2024-01-14,Credit Card
T00094,C9023,Tablet,Electronics,East,1158.85,2,2023-10-15,Cash
T00095,C5997,Tablet,Accessories,South,1168.43,8,2023-09-30,Credit Card
T00096,C1310,Laptop,Office Equipment,West,1875.05,8,2023-01-16,Cash
T00097,C6876,Camera,Accessories,South,1608.81,1,2024-10-21,Cash
T00098,C7883,Keyboard,Accessories,West,767.76,1,2023-11-16,Online Payment
T00099,C8296,Tablet,Accessories,South,361.02,2,2022-12-08,Cash
T00100,C2917,Laptop,Electronics,North,1038.07,5,2024-01-06,Credit Card
T00101,C2956,Laptop,Accessories,South,267.11,5,2023-03-31,UPI
T00102,C5277,Keyboard,Electronics,North,1166.26,9,2024-07-15,Debit Card
T00103,C9810,Monitor,Accessories,West,1459.42,9,2023-10-15,Debit Card
T00104,C9882,Headphones,Office Equipment,South,506.92,3,2023-02-16,UPI
T00105,C1729,Headphones,Office Equipment,North,1886.17,5,2022-12-17,Debit Card
T00106,C9800,Camera,Office Equipment,West,988.88,8,2023-01-18,Credit Card
T00107,C5600,Printer,Office Equipment,West,1039.2,8,2023-09-15,Online Payment
T00108,C6622,Camera,Office Equipment,East,1278.19,4,2024-03-31,UPI
T00109,C4275,Monitor,Office Equipment,South,1462.13,1,2023-04-18,Debit Card
T00110,C1134,Mobile Phone,Accessories,North,293.04,5,2024-08-17,UPI
T00111,C8175,Mobile Phone,Accessories,South,1304.01,8,2024-11-23,Credit Card
T00112,C2912,Laptop,Office Equipment,North,1391.16,10,2024-12-05,Credit Card
T00113,C3083,Desktop,Office Equipment,West,1123.97,5,2023-09-12,UPI
T00114,C9449,Laptop,Office Equipment,East,154.99,4,2024-06-23,Credit Card
T00115,C2527,Camera,Office Equipment,South,466.14,5,2023-11-08,Online Payment
T00116,C4320,Monitor,Accessories,South,541.75,5,2023-07-18,Cash
T00117,C5813,Mobile Phone,Electronics,North,1069.88,7,2023-03-07,Cash
T00118,C2952,Monitor,Accessories,West,640.35,9,2023-08-06,UPI
T00119,C8318,Mobile Phone,Electronics,East,652.14,3,2023-05-13,Debit Card
T00120,C2311,Desktop,Accessories,East,955.87,5,2023-09-08,Cash
T00121,C4847,Headphones,Office Equipment,East,1817.33,1,2024-05-27,UPI
T00122,C6959,Monitor,Electronics,East,534.42,8,2023-05-04,Cash
T00123,C9264,Printer,Office Equipment,East,1310.54,3,2023-07-28,Debit Card
T00124,C1358,Keyboard,Office Equipment,East,1554.29,1,2024-09-12,Online Payment
T00125,C7890,Keyboard,Office Equipment,West,1691.47,3,2024-08-09,Cash
T00126,C4305,Camera,Accessories,South,1892.45,1,2024-01-13,Debit Card
T00127,C7289,Laptop,Office Equipment,South,1739.55,6,2023-07-24,Cash
T00128,C9871,Smartwatch,Office Equipment,East,898.33,5,2023-07-13,UPI
T00129,C9482,Monitor,Electronics,West,398.89,5,2023-11-24,UPI
T00130,C7938,Camera,Accessories,South,1469.07,7,2023-02-04,Debit Card
T00131,C5746,Headphones,Office Equipment,North,1839.75,2,2024-08-17,Online Payment
T00132,C8603,Tablet,Electronics,East,303.68,1,2023-09-05,Credit Card
T00133,C2316,Smartwatch,Accessories,North,1818.52,10,2023-01-20,Debit Card
T00134,C3484,Tablet,Office Equipment,West,853.88,2,2023-01-18,Debit Card
T00135,C8331,Tablet,Accessories,West,1780.89,9,2023-06-28,Online Payment
T00136,C5518,Printer,Electronics,East,1130.67,7,2023-02-21,Online Payment
T00137,C9179,Monitor,Electronics,West,649.73,8,2023-12-07,Credit Card
T00138,C1604,Keyboard,Office Equipment,West,480.1,6,2024-09-15,Online Payment
T00139,C2059,Camera,Office Equipment,East,144.17,2,2024-09-08,Credit Card
T00140,C5758,Headphones,Electronics,West,1732.38,10,2023-06-22,Online Payment
T00141,C8739,Monitor,Office Equipment,West,229.78,2,2023-01-08,Online Payment
T00142,C6625,Camera,Office Equipment,North,1809.44,3,2024-07-23,Debit Card
T00143,C5479,Camera,Office Equipment,South,420.0,10,2024-07-05,UPI
T00144,C7273,Printer,Office Equipment,East,561.33,9,2023-10-12,Credit Card
T00145,C8231,Smartwatch,Accessories,South,614.45,6,2023-06-03,UPI
T00146,C9871,Desktop,Office Equipment,West,1846.53,6,2024-09-09,Online Payment
T00147,C9377,Mobile Phone,Office Equipment,South,741.12,1,2023-12-14,UPI
T00148,C5710,Laptop,Office Equipment,North,1914.21,4,2024-10-21,Cash
T00149,C9281,Smartwatch,Electronics,East,1346.58,4,2023-05-20,Cash
T00150,C2997,Keyboard,Electronics,East,1124.76,2,2022-12-25,Debit Card
T00151,C6648,Mobile Phone,Electronics,North,1943.13,1,2023-01-25,Credit Card
T00152,C6986,Camera,Electronics,East,934.14,6,2023-06-09,Credit Card
T00153,C6804,Headphones,Accessories,West,1157.38,10,2024-04-19,Credit Card
T00154,C8549,Headphones,Electronics,West,778.88,5,2023-07-13,Online Payment
T00155,C7469,Smartwatch,Accessories,North,240.22,1,2023-06-18,Cash
T00156,C4671,Headphones,Electronics,North,1107.39,7,2023-04-06,Credit Card
T00157,C5813,Camera,Electronics,North,168.4,2,2024-08-29,Credit Card
T00158,C6508,Smartwatch,Accessories,North,333.27,9,2023-11-09,Online Payment
T00159,C4247,Desktop,Electronics,North,1530.3,7,2022-12-23,Online Payment
T00160,C6249,Desktop,Office Equipment,North,317.33,6,2024-10-01,Debit Card
T00161,C1458,Smartwatch,Office Equipment,North,1850.61,9,2022-12-19,Debit Card
T00162,C5195,Mobile Phone,Accessories,West,1908.85,3,2024-09-26,UPI
T00163,C8421,Laptop,Office Equipment,West,1539.28,2,2023-02-21,Online Payment
T00164,C3676,Smartwatch,Accessories,South,790.4,10,2023-08-14,Debit Card
T00165,C3751,Laptop,Office Equipment,North,1343.76,8,2023-12-15,Credit Card
T00166,C1698,Camera,Electronics,South,492.23,3,2023-07-18,UPI
T00167,C4032,Keyboard,Accessories,South,1723.38,4,2024-06-06,Debit Card
T00168,C4691,Tablet,Electronics,West,1263.71,10,2023-06-30,Credit Card
T00169,C7291,Headphones,Electronics,North,1542.16,9,2023-12-30,Cash
T00170,C9853,Monitor,Electronics,West,354.31,10,2024-08-19,UPI
T00171,C2738,Tablet,Accessories,East,1576.24,10,2022-12-18,UPI
T00172,C4671,Headphones,Accessories,East,1342.66,10,2023-07-14,UPI
T00173,C1186,Mobile Phone,Electronics,West,1329.72,10,2024-11-02,Credit Card
T00174,C4505,Camera,Accessories,South,1713.61,3,2024-06-22,Cash
T00175,C9138,Smartwatch,Accessories,North,1303.79,7,2022-12-19,UPI
T00176,C3706,Mobile Phone,Office Equipment,South,928.94,10,2024-05-16,Credit Card
T00177,C6249,Printer,Office Equipment,West,825.1,2,2023-07-28,Online Payment
T00178,C2730,Headphones,Electronics,East,1049.94,9,2023-04-11,Online Payment
T00179,C1079,Smartwatch,Electronics,North,1481.12,10,2023-01-19,Cash
T00180,C8061,Laptop,Electronics,South,152.41,6,2024-07-21,Cash
T00181,C1568,Desktop,Office Equipment,North,731.26,1,2024-11-29,UPI
T00182,C4160,Tablet,Accessories,West,1477.76,10,2024-11-03,Online Payment
T00183,C5439,Mobile Phone,Accessories,North,759.77,8,2023-03-06,Credit Card
T00184,C3288,Laptop,Electronics,South,1516.57,10,2023-01-27,Online Payment
T00185,C1605,Headphones,Electronics,South,831.03,5,2024-09-29,Debit Card
T00186,C9708,Smartwatch,Electronics,South,1014.64,1,2023-11-26,UPI
T00187,C4317,Tablet,Electronics,South,1516.13,10,2024-06-25,UPI
T00188,C6248,Mobile Phone,Electronics,North,1807.64,3,2024-05-01,Cash
T00189,C6978,Monitor,Office Equipment,West,848.13,1,2023-03-05,Online Payment
T00190,C1223,Keyboard,Accessories,East,351.65,7,2024-10-17,Credit Card
T00191,C9590,Laptop,Office Equipment,East,101.32,5,2023-10-14,Online Payment
T00192,C9817,Mobile Phone,Accessories,South,1181.47,6,2024-07-29,Cash
T00193,C7932,Tablet,Office Equipment,North,1169.61,6,2024-08-17,Cash
T00194,C8225,Laptop,Accessories,South,1491.93,4,2022-12-26,UPI
T00195,C1331,Monitor,Office Equipment,South,1816.06,4,2023-01-02,UPI
T00196,C9939,Tablet,Office Equipment,West,338.82,1,2023-08-28,Credit Card
T00197,C1296,Desktop,Electronics,East,52.45,8,2024-01-13,Credit Card
T00198,C6125,Printer,Office Equipment,East,932.87,5,2023-12-27,UPI
T00199,C5295,Smartwatch,Electronics,South,712.8,7,2023-08-08,Cash
T00200,C6194,Laptop,Accessories,West,502.83,4,2023-06-17,Online Payment
T00201,C2658,Mobile Phone,Electronics,North,1463.93,2,2024-05-15,Cash
T00202,C6703,Camera,Accessories,West,1030.49,8,2024-08-19,Credit Card
T00203,C5440,Desktop,Accessories,South,1568.73,3,2023-11-02,Credit Card
T00204,C9882,Monitor,Accessories,South,1562.99,2,2023-03-07,Online Payment
T00205,C1526,Camera,Electronics,South,1633.51,10,2024-03-08,Online Payment
T00206,C3762,Headphones,Accessories,South,1860.09,9,2023-04-02,Cash
T00207,C9612,Keyboard,Accessories,East,1442.23,5,2024-08-30,Debit Card
T00208,C4673,Printer,Electronics,West,1298.97,10,2024-05-18,Online Payment
T00209,C9713,Monitor,Office Equipment,East,1890.35,4,2024-09-01,Cash
T00210,C6505,Camera,Office Equipment,South,89.23,2,2022-12-19,Cash
T00211,C8564,Desktop,Accessories,North,1453.28,2,2024-02-16,Cash
T00212,C2473,Mobile Phone,Electronics,West,1444.12,5,2024-02-29,Credit Card
T00213,C5516,Mobile Phone,Electronics,West,1128.99,8,2024-02-02,UPI
T00214,C8587,Desktop,Office Equipment,East,919.81,1,2023-04-26,UPI
T00215,C4567,Keyboard,Electronics,North,493.53,8,2023-03-09,Cash
T00216,C3633,Tablet,Electronics,East,292.12,6,2024-10-28,Online Payment
T00217,C1103,Keyboard,Accessories,North,1538.35,3,2023-03-27,Online Payment
T00218,C6822,Tablet,Electronics,East,555.88,6,2023-12-20,Online Payment
T00219,C8500,Laptop,Accessories,East,1058.25,6,2023-04-16,Cash
T00220,C9027,Laptop,Accessories,East,252.59,3,2024-03-29,Online Payment
T00221,C7106,Headphones,Office Equipment,East,874.36,2,2024-09-16,Online Payment
T00222,C6450,Mobile Phone,Accessories,South,751.07,1,2024-06-22,UPI
T00223,C5714,Tablet,Accessories,South,423.82,1,2024-10-28,Online Payment
T00224,C5777,Desktop,Accessories,South,1493.24,3,2023-10-07,Debit Card
T00225,C7476,Keyboard,Office Equipment,North,407.1,7,2022-12-28,Debit Card
T00226,C6263,Tablet,Electronics,East,788.85,6,2023-11-23,Cash
T00227,C3274,Monitor,Accessories,South,1136.13,8,2024-06-13,UPI
T00228,C6664,Headphones,Accessories,West,1973.55,1,2023-02-10,Debit Card
T00229,C6209,Desktop,Office Equipment,North,481.51,8,2024-05-21,Credit Card
T00230,C1884,Monitor,Office Equipment,West,553.95,2,2023-09-12,Cash
T00231,C5004,Monitor,Accessories,East,1838.32,1,2023-11-07,UPI
T00232,C8778,Printer,Accessories,South,1946.92,2,2023-02-01,Cash
T00233,C4279,Desktop,Electronics,East,58.63,9,2024-04-18,Credit Card
T00234,C4028,Headphones,Office Equipment,East,1772.34,5,2023-12-23,Online Payment
T00235,C9517,Smartwatch,Office Equipment,North,557.63,7,2024-10-15,Debit Card
T00236,C5920,Laptop,Office Equipment,West,571.46,9,2023-11-11,Debit Card
T00237,C1138,Laptop,Office Equipment,West,218.52,2,2022-12-30,Online Payment
T00238,C4809,Camera,Electronics,East,597.48,2,2023-04-25,UPI
T00239,C1415,Monitor,Office Equipment,South,376.09,6,2023-08-19,Credit Card
T00240,C9620,Laptop,Office Equipment,North,505.22,1,2023-07-14,Debit Card
T00241,C1402,Smartwatch,Office Equipment,South,904.83,4,2023-01-06,Debit Card
T00242,C3297,Keyboard,Accessories,East,900.84,5,2023-11-14,Cash
T00243,C8776,Printer,Electronics,North,1963.5,5,2023-01-31,Cash
T00244,C1255,Camera,Accessories,West,320.76,1,2024-07-29,Credit Card
T00245,C8597,Tablet,Accessories,North,1783.72,4,2024-08-12,Debit Card
T00246,C7863,Desktop,Office Equipment,North,1922.05,9,2023-09-10,Online Payment
T00247,C6466,Tablet,Office Equipment,West,195.98,5,2024-05-30,Cash
T00248,C1283,Tablet,Electronics,West,756.97,9,2024-09-14,UPI
T00249,C8661,Desktop,Accessories,South,1228.28,3,2024-03-08,UPI
T00250,C8186,Tablet,Office Equipment,East,1560.58,5,2024-05-13,Debit Card
T00251,C6974,Mobile Phone,Electronics,West,820.22,5,2024-10-07,UPI
T00252,C6623,Mobile Phone,Accessories,East,1730.52,3,2023-09-16,Credit Card
T00253,C8655,Laptop,Electronics,West,382.3,10,2024-06-23,UPI
T00254,C4742,Keyboard,Accessories,East,1505.15,2,2022-12-16,UPI
T00255,C9683,Smartwatch,Electronics,East,1485.17,8,2023-10-09,Online Payment
T00256,C7042,Camera,Accessories,South,469.34,3,2024-11-13,Debit Card
T00257,C7336,Keyboard,Office Equipment,West,603.82,4,2024-10-14,UPI
T00258,C9951,Desktop,Accessories,West,1614.42,2,2023-01-12,Online Payment
T00259,C3220,Monitor,Office Equipment,East,662.55,4,2022-12-20,Cash
T00260,C4117,Monitor,Office Equipment,East,1541.84,1,2024-02-18,Online Payment
T00261,C8578,Mobile Phone,Electronics,North,678.4,7,2024-08-20,Debit Card
T00262,C7676,Camera,Office Equipment,South,438.64,8,2024-05-16,Credit Card
T00263,C5981,Printer,Electronics,West,1474.25,4,2024-05-08,Credit Card
T00264,C9397,Mobile Phone,Electronics,East,849.6,2,2024-08-05,Online Payment
T00265,C7606,Smartwatch,Electronics,West,1384.38,6,2023-10-19,Credit Card
T00266,C7115,Tablet,Office Equipment,North,1271.59,5,2024-06-26,Cash
T00267,C9808,Monitor,Electronics,West,1089.71,8,2024-07-04,Debit Card
T00268,C9475,Mobile Phone,Electronics,East,1747.4,8,2024-04-15,UPI
T00269,C4536,Monitor,Electronics,South,397.51,6,2024-07-02,Cash
T00270,C7409,Smartwatch,Electronics,West,1859.75,2,2024-10-21,Online Payment
T00271,C8211,Desktop,Electronics,North,118.33,2,2024-12-05,Debit Card
T00272,C1862,Keyboard,Office Equipment,East,1435.97,6,2023-09-06,Cash
T00273,C3568,Laptop,Electronics,North,1159.01,8,2024-04-01,Cash
T00274,C6387,Desktop,Office Equipment,East,1453.02,1,2023-06-12,UPI
T00275,C3261,Keyboard,Office Equipment,North,1627.93,7,2024-03-09,Online Payment
T00276,C4047,Camera,Office Equipment,West,316.64,2,2024-04-29,Cash
T00277,C7614,Mobile Phone,Office Equipment,West,766.98,8,2024-06-30,Online Payment
T00278,C3318,Keyboard,Accessories,North,188.1,9,2024-02-19,Online Payment
T00279,C6359,Laptop,Accessories,South,963.18,4,2023-12-28,Debit Card
T00280,C4438,Laptop,Office Equipment,South,878.67,7,2024-06-10,Debit Card
T00281,C9247,Tablet,Office Equipment,West,995.86,7,2024-04-11,Cash
T00282,C4978,Smartwatch,Electronics,East,1308.11,8,2022-12-20,Debit Card
T00283,C5050,Laptop,Accessories,North,746.03,4,2024-04-21,UPI
T00284,C8371,Tablet,Accessories,East,259.64,1,2023-08-08,UPI
T00285,C8650,Tablet,Office Equipment,South,1558.79,5,2023-12-05,Credit Card
T00286,C1414,Monitor,Accessories,South,1382.71,9,2024-05-21,Debit Card
T00287,C1689,Laptop,Electronics,North,1761.74,1,2024-03-25,Online Payment
T00288,C6660,Headphones,Office Equipment,South,1981.58,8,2023-09-04,Credit Card
T00289,C5143,Monitor,Electronics,West,520.18,8,2024-01-19,Online Payment
T00290,C2306,Monitor,Office Equipment,West,1852.12,5,2023-05-10,Online Payment
T00291,C4628,Keyboard,Office Equipment,South,318.7,6,2022-12-14,Cash
T00292,C7239,Printer,Electronics,South,108.11,2,2023-07-03,Cash
T00293,C1379,Smartwatch,Accessories,East,1156.93,4,2023-07-04,UPI
T00294,C1797,Keyboard,Office Equipment,East,1575.7,4,2024-04-22,Credit Card
T00295,C4228,Laptop,Electronics,East,76.33,3,2023-01-26,Debit Card
T00296,C9667,Laptop,Office Equipment,North,1459.52,6,2024-09-18,Cash
T00297,C7285,Mobile Phone,Electronics,North,965.95,1,2024-07-28,Credit Card
T00298,C8204,Tablet,Office Equipment,East,985.74,6,2023-02-09,UPI
T00299,C5662,Laptop,Accessories,North,472.02,5,2023-11-28,Debit Card
T00300,C4108,Smartwatch,Electronics,West,304.05,4,2024-09-26,Debit Card
T00301,C5924,Mobile Phone,Accessories,North,1597.03,7,2024-06-21,Online Payment
T00302,C7979,Headphones,Office Equipment,North,80.42,10,2023-05-27,UPI
T00303,C9381,Mobile Phone,Office Equipment,South,575.22,3,2024-11-08,Cash
T00304,C8018,Smartwatch,Accessories,South,818.34,9,2023-01-27,Credit Card
T00305,C8784,Desktop,Electronics,East,212.66,2,2023-11-09,Credit Card
T00306,C7839,Headphones,Accessories,West,1038.88,5,2023-04-11,Online Payment
T00307,C3854,Printer,Electronics,South,1791.6,10,2023-09-10,UPI
T00308,C8662,Monitor,Accessories,West,1789.34,8,2024-10-12,Cash
T00309,C3420,Camera,Accessories,North,359.48,4,2024-06-03,Credit Card
T00310,C1937,Tablet,Electronics,North,949.75,6,2023-02-23,Cash
T00311,C5131,Keyboard,Accessories,South,1083.55,2,2023-09-17,Credit Card
T00312,C1022,Laptop,Electronics,North,1011.68,6,2024-12-04,UPI
T00313,C5826,Smartwatch,Accessories,North,836.9,9,2023-12-29,Online Payment
T00314,C7229,Tablet,Electronics,East,902.91,9,2024-05-09,UPI
T00315,C3227,Tablet,Electronics,East,1066.37,10,2024-06-19,Online Payment
T00316,C3147,Laptop,Office Equipment,South,1717.16,9,2023-04-05,Online Payment
T00317,C9164,Keyboard,Accessories,West,355.54,3,2023-03-06,Online Payment
T00318,C3378,Laptop,Office Equipment,West,1354.97,3,2024-05-02,UPI
T00319,C7216,Tablet,Office Equipment,North,568.34,2,2023-06-08,Cash
T00320,C6883,Camera,Accessories,South,179.26,10,2024-09-22,Credit Card
T00321,C4182,Monitor,Accessories,East,1934.28,8,2024-03-10,Credit Card
T00322,C4268,Headphones,Accessories,West,1270.18,10,2024-06-13,UPI
T00323,C9644,Keyboard,Office Equipment,North,391.43,5,2024-06-24,Debit Card
T00324,C2554,Laptop,Accessories,West,1079.26,7,2023-04-11,Debit Card
T00325,C6701,Camera,Accessories,North,856.02,8,2023-02-10,Credit Card
T00326,C8800,Mobile Phone,Accessories,North,1480.06,10,2023-07-18,Credit Card
T00327,C3276,Desktop,Accessories,West,1452.57,7,2024-10-21,Credit Card
T00328,C8318,Tablet,Office Equipment,South,239.01,5,2023-04-05,Debit Card
T00329,C1802,Tablet,Office Equipment,West,1463.17,2,2023-05-17,Credit Card
T00330,C6250,Desktop,Accessories,South,354.35,2,2024-03-06,Credit Card
T00331,C3432,Printer,Accessories,East,477.81,6,2023-08-28,Credit Card
T00332,C2145,Printer,Office Equipment,South,846.39,8,2024-11-08,Debit Card
T00333,C3380,Mobile Phone,Electronics,South,1003.55,7,2024-01-17,Cash
T00334,C5846,Keyboard,Electronics,East,121.31,8,2024-05-06,UPI
T00335,C1429,Mobile Phone,Electronics,East,262.26,9,2024-03-24,Debit Card
T00336,C6611,Printer,Office Equipment,South,935.09,1,2023-12-12,UPI
T00337,C9612,Headphones,Electronics,West,1887.79,8,2023-04-10,Credit Card
T00338,C8949,Camera,Electronics,East,615.77,9,2024-10-20,Debit Card
T00339,C1437,Camera,Electronics,West,1431.21,2,2023-10-06,Online Payment
T00340,C9578,Mobile Phone,Electronics,North,1078.78,5,2023-05-07,Debit Card
T00341,C4970,Laptop,Office Equipment,East,1237.11,1,2024-06-23,Debit Card
T00342,C1052,Keyboard,Accessories,South,138.51,10,2023-01-12,Cash
T00343,C4403,Printer,Office Equipment,East,1035.19,8,2023-05-14,Cash
T00344,C9540,Tablet,Accessories,North,1401.15,9,2023-02-25,Credit Card
T00345,C2507,Laptop,Accessories,South,1673.31,4,2023-11-01,Online Payment
T00346,C9146,Camera,Accessories,North,731.12,3,2024-04-03,Debit Card
T00347,C7155,Smartwatch,Electronics,North,1660.52,1,2023-10-29,Cash
T00348,C1975,Tablet,Electronics,East,820.81,9,2023-10-06,Online Payment
T00349,C3311,Keyboard,Electronics,East,1109.76,6,2024-11-21,Debit Card
